fund_name,fund_extended_name,category,net_assets,ytd_return,fund_yield,morningstar_rating,investment,size,currency,portfolio_cash,portfolio_stocks,portfolio_bonds,price_earnings,price_sales,basic_materials,consumer_cyclical,financial_services,real_estate,consumer_defensive,healthcare,utilities,communication_services,energy,industrials,technology,fund_return_2018,fund_return_2017,fund_return_2016
AAAAX,DWS RREEF Real Assets Fund - Class A,World Allocation,530280000.0,12.79,1.43,3.0,Blend,Large,USD,3.8,76.25,15.35,21.58,2.32,7.48,0.16,0.0,39.52,0.93,0.0,19.56,5.02,17.03,9.24,1.08,-5.37,14.67,4.01
AAAGX,Thrivent Large Cap Growth Fund Class A,Large Growth,1080000000.0,16.0,0.0,3.0,Growth,Large,USD,1.91,97.06,0.0,24.49,4.45,0.0,20.2,16.12,0.0,3.99,16.52,0.0,0.0,0.78,7.08,35.3,1.48,27.7,-2.26
AAAIX,American Century Strategic Allocation: Aggressive Fund I Class,Allocation - 70% to 85% Equity,785270000.0,11.57,1.38,4.0,Growth,Large,USD,2.57,75.06,22.29,15.92,1.5,2.37,14.71,16.03,5.43,7.2,12.71,1.87,1.77,5.36,11.25,21.3,-7.71,19.31,6.95
AAAPX,DWS RREEF Real Assets Fund - Class C,World Allocation,530280000.0,12.53,0.74,2.0,Blend,Large,USD,3.8,76.25,15.35,21.58,2.32,7.48,0.16,0.0,39.52,0.93,0.0,19.56,5.02,17.03,9.24,1.08,-6.02,13.69,3.24
AAARX,American Century Strategic Allocation: Aggressive Fund R Class,Allocation - 70% to 85% Equity,785270000.0,11.39,0.72,3.0,Growth,Large,USD,2.57,75.06,22.29,15.92,1.5,2.37,14.71,16.03,5.43,7.2,12.71,1.87,1.77,5.36,11.25,21.3,-8.37,18.49,6.11
AAASX,DWS RREEF Real Assets Fund - Class S,World Allocation,530280000.0,12.78,1.57,3.0,Blend,Large,USD,3.8,76.25,15.35,21.58,2.32,7.48,0.16,0.0,39.52,0.93,0.0,19.56,5.02,17.03,9.24,1.08,-5.17,14.83,4.2
AAATX,American Funds 2010 Target Date Retirement Fund Class A,Target-Date 2000-2010,3200000000.0,5.97,1.93,4.0,Blend,Large,USD,7.64,38.26,53.61,15.24,1.85,4.69,8.57,13.09,4.12,10.09,15.25,5.3,5.02,9.63,8.48,15.75,-2.86,9.97,7.2
AAAZX,DWS RREEF Real Assets Fund - Class Inst,World Allocation,530280000.0,12.78,1.68,3.0,Blend,Large,USD,3.8,76.25,15.35,21.58,2.32,7.48,0.16,0.0,39.52,0.93,0.0,19.56,5.02,17.03,9.24,1.08,-5.06,14.97,4.39
AABCX,Putnam Dynamic Asset Allocation Balanced Fund Class C,Allocation - 50% to 70% Equity,2700000000.0,8.99,1.01,3.0,Blend,Large,USD,10.43,57.03,32.03,12.58,1.47,3.12,12.72,13.92,3.78,7.94,14.34,3.3,3.17,5.45,11.22,21.05,-7.92,14.4,5.87
AABFX,Thrivent Balanced Income Plus Fund Class A,Allocation - 30% to 50% Equity,374750000.0,8.02,2.79,5.0,Blend,Large,USD,9.86,43.34,37.98,14.4,1.37,4.9,12.18,18.39,3.26,7.43,15.16,1.54,2.98,4.32,13.06,16.79,-5.09,11.38,6.66
AABPX,American Beacon Balanced Fund Investor Class,Allocation - 50% to 70% Equity,277940000.0,10.16,1.36,3.0,Value,Large,USD,3.23,61.17,35.55,12.0,1.11,3.68,12.91,23.45,0.0,6.32,11.04,1.42,4.28,16.09,9.91,10.88,-8.19,12.18,12.04
AABTX,American Funds 2015 Target Date Retirement Fund Class A,Target-Date 2015,5010000000.0,6.31,1.89,4.0,Blend,Large,USD,7.73,42.23,49.57,15.31,1.86,4.68,8.8,13.18,3.79,9.89,15.31,4.99,4.88,9.57,8.62,16.29,-2.99,10.83,7.1
AACCX,American Century Strategic Allocation: Conservative Fund C Class,Allocation - 30% to 50% Equity,437900000.0,7.13,0.78,2.0,Blend,Large,USD,2.01,41.11,56.55,15.58,1.43,2.18,13.68,16.53,5.52,7.5,13.43,2.27,1.72,5.92,11.24,20.01,-5.59,9.75,4.04
AACFX,Invesco Greater China Fund Class A,China Region,85650000.0,14.9,0.77,3.0,Blend,Large,USD,0.01,99.99,0.0,12.29,0.85,7.56,29.1,0.0,0.0,7.95,8.5,3.3,4.43,1.22,4.32,33.61,-16.56,42.41,4.76
AACIX,American Beacon Mid-Cap Value Fund Institutional Class,Mid-Cap Value,571500000.0,13.82,1.4,3.0,Value,Medium,USD,4.57,95.43,0.0,12.69,0.92,4.37,15.77,22.65,7.9,3.36,6.47,5.67,0.65,8.09,20.27,4.8,-19.74,17.73,17.65
AACRX,American Century Strategic Allocation: Conservative Fund R Class,Allocation - 30% to 50% Equity,437900000.0,7.3,1.21,2.0,Blend,Large,USD,2.01,41.11,56.55,15.58,1.43,2.18,13.68,16.53,5.52,7.5,13.43,2.27,1.72,5.92,11.24,20.01,-4.99,10.11,4.52
AACTX,American Funds 2020 Target Date Retirement Fund Class A,Target-Date 2020,14830000000.0,6.76,1.64,4.0,Blend,Large,USD,7.95,44.7,46.93,15.72,1.9,4.58,9.94,13.09,3.04,9.19,15.71,4.18,4.28,9.19,8.76,18.05,-3.04,12.46,6.72
